distrito,total_accidentes,gravedad_promedio,tasa_alcohol,latitud,longitud
Arganzuela,1432,5.726256983240224,0.018156424581005588,40.395,-3.697
Barajas,498,4.419678714859438,0.018072289156626505,40.472,-3.583
Carabanchel,2082,5.151296829971182,0.03266090297790586,40.38,-3.74
Centro,1521,5.171597633136095,0.023668639053254437,40.415,-3.703
Chamartín,1964,5.955702647657841,0.020875763747454174,40.47,-3.68
Chamberí,1124,6.124555160142349,0.026690391459074734,40.434,-3.7
Ciudad Lineal,1813,5.824048538334252,0.026475455046883617,40.435,-3.64
Fuencarral-El Pardo,1571,5.502864417568428,0.03500954805856143,40.498,-3.717
Hortaleza,1021,5.48873653281097,0.019588638589618023,40.474,-3.64
Latina,1432,4.743016759776537,0.04329608938547486,40.388,-3.743
Moncloa-Aravaca,1417,5.181369089625971,0.021877205363443897,40.435,-3.723
Moratalaz,835,5.895808383233533,0.011976047904191617,40.407,-3.64
Puente De Vallecas,2044,5.243639921722114,0.030821917808219176,40.392,-3.623
Retiro,1531,5.67472240365774,0.015676028739386023,40.413,-3.68
Salamanca,1986,6.269385699899295,0.014098690835850957,40.428,-3.68
San Blas-Canillejas,1344,6.049851190476191,0.028273809523809524,40.428,-3.617
Tetuán,1227,6.007334963325183,0.02689486552567237,40.459,-3.697
Usera,1239,5.176755447941889,0.029055690072639227,40.388,-3.707
Vicálvaro,504,5.0773809523809526,0.021825396825396824,40.405,-3.6
Villa De Vallecas,814,5.431203931203931,0.030712530712530713,40.365,-3.623
Villaverde,1055,5.01042654028436,0.05023696682464455,40.35,-3.7
