modo_transporte,ciudad,tipo_indicador,valor,fecha
Autobús Urbano,Madrid,Viajeros,36.56,2012-01-01
Metro,Madrid,Viajeros,54.34,2012-01-01
Autobús Urbano,Madrid,Viajeros,36.69,2012-02-01
Metro,Madrid,Viajeros,55.28,2012-02-01
Autobús Urbano,Madrid,Viajeros,38.55,2012-03-01
Metro,Madrid,Viajeros,56.72,2012-03-01
Autobús Urbano,Madrid,Viajeros,33.17,2012-04-01
Metro,Madrid,Viajeros,50.0,2012-04-01
Autobús Urbano,Madrid,Viajeros,37.98,2012-05-01
Metro,Madrid,Viajeros,54.77,2012-05-01
Autobús Urbano,Madrid,Viajeros,36.66,2012-06-01
Metro,Madrid,Viajeros,52.02,2012-06-01
Autobús Urbano,Madrid,Viajeros,29.27,2012-07-01
Metro,Madrid,Viajeros,44.97,2012-07-01
Autobús Urbano,Madrid,Viajeros,20.32,2012-08-01
Metro,Madrid,Viajeros,32.28,2012-08-01
Autobús Urbano,Madrid,Viajeros,31.02,2012-09-01
Metro,Madrid,Viajeros,46.82,2012-09-01
Autobús Urbano,Madrid,Viajeros,38.0,2012-10-01
Metro,Madrid,Viajeros,55.39,2012-10-01
Autobús Urbano,Madrid,Viajeros,34.72,2012-11-01
Metro,Madrid,Viajeros,51.07,2012-11-01
Autobús Urbano,Madrid,Viajeros,32.54,2012-12-01
Metro,Madrid,Viajeros,47.91,2012-12-01
Autobús Urbano,Madrid,Viajeros,34.68,2013-01-01
Metro,Madrid,Viajeros,48.97,2013-01-01
Autobús Urbano,Madrid,Viajeros,34.1,2013-02-01
Metro,Madrid,Viajeros,48.73,2013-02-01
Autobús Urbano,Madrid,Viajeros,32.87,2013-03-01
Metro,Madrid,Viajeros,46.26,2013-03-01
Autobús Urbano,Madrid,Viajeros,38.22,2013-04-01
Metro,Madrid,Viajeros,51.97,2013-04-01
Autobús Urbano,Madrid,Viajeros,36.82,2013-05-01
Metro,Madrid,Viajeros,49.56,2013-05-01
Autobús Urbano,Madrid,Viajeros,35.3,2013-06-01
Metro,Madrid,Viajeros,47.33,2013-06-01
Autobús Urbano,Madrid,Viajeros,30.12,2013-07-01
Metro,Madrid,Viajeros,41.34,2013-07-01
Autobús Urbano,Madrid,Viajeros,19.96,2013-08-01
Metro,Madrid,Viajeros,28.26,2013-08-01
Autobús Urbano,Madrid,Viajeros,32.23,2013-09-01
Metro,Madrid,Viajeros,44.24,2013-09-01
Autobús Urbano,Madrid,Viajeros,39.72,2013-10-01
Metro,Madrid,Viajeros,52.88,2013-10-01
Autobús Urbano,Madrid,Viajeros,36.36,2013-11-01
Metro,Madrid,Viajeros,49.9,2013-11-01
Autobús Urbano,Madrid,Viajeros,33.72,2013-12-01
Metro,Madrid,Viajeros,48.44,2013-12-01
Autobús Urbano,Madrid,Viajeros,34.95,2014-01-01
Metro,Madrid,Viajeros,48.62,2014-01-01
Autobús Urbano,Madrid,Viajeros,34.22,2014-02-01
Metro,Madrid,Viajeros,47.44,2014-02-01
Autobús Urbano,Madrid,Viajeros,37.89,2014-03-01
Metro,Madrid,Viajeros,51.87,2014-03-01
Autobús Urbano,Madrid,Viajeros,34.2,2014-04-01
